Model,Family,F1,AUC,TrainSec,InferSec
Ensemble-WeightedVote,ensemble,0.9029285949325436,0.9656328277916938,0.0,0.03
Ensemble-Stacking,ensemble,0.9007068327162572,0.9619034878284229,0.0,0.03
Ensemble-SoftVote,ensemble,0.900101591601761,0.9628212672378084,0.0,0.04
CLIP+LoRA,finetuned,0.8897183576518494,0.958431926101202,134.6,5.3
CLIP,vlm,0.8894842598794374,0.9552205870588214,7.1,0.01
BLIP-2,vlm,0.8807402330363262,0.9508899126931781,5.4,0.0
XGBoost,traditional,0.7822477650063857,0.8663686513220469,1252.8,0.02
LogisticRegression,traditional,0.753587786259542,0.8245179102540627,49.5,0.02
RandomForest,traditional,0.7499227202472952,0.8190583449926134,323.1,0.14
KNN,traditional,0.6802154750244858,0.6827909916284295,8.6,1.09
DecisionTree,traditional,0.6381927285563007,0.6156746500882667,915.4,0.01
