Model,Family,Accuracy,Precision,Recall,F1,AUC,AUC-PR,Threshold,TrainSec,InferSec
Ensemble-WeightedVote,ensemble,0.9016666666666666,0.8926480156148341,0.9134487350199734,0.9029285949325436,0.9656328277916938,0.9695224290447043,0.3365,0.0,0.03
Ensemble-Stacking,ensemble,0.9016666666666666,0.9108236895847516,0.8908122503328895,0.9007068327162572,0.9619034878284229,0.9652416610997006,0.396,0.0,0.03
Ensemble-SoftVote,ensemble,0.9016666666666666,0.9159200551343901,0.8848202396804261,0.900101591601761,0.9628212672378084,0.9665376279824088,0.4241,0.0,0.04
CLIP+LoRA,finetuned,0.8916666666666667,0.9072664359861592,0.8728362183754993,0.8897183576518494,0.958431926101202,0.9636570829755188,0.4899,134.6,5.3
CLIP,vlm,0.89,0.894878706199461,0.8841544607190412,0.8894842598794374,0.9552205870588214,0.9609294560440605,0.4605,7.1,0.01
BLIP-2,vlm,0.884,0.9074858757062146,0.855525965379494,0.8807402330363262,0.9508899126931781,0.9555798586503907,0.3578,5.4,0.0
XGBoost,traditional,0.7726666666666666,0.7515337423312883,0.8155792276964048,0.7822477650063857,0.8663686513220469,0.8791934285726389,0.3012,1252.8,0.02
LogisticRegression,traditional,0.731,0.6959954878736605,0.8215712383488681,0.753587786259542,0.8245179102540627,0.8367957849024211,0.2388,49.5,0.02
RandomForest,traditional,0.7303333333333333,0.6999422965954991,0.8075898801597869,0.7499227202472952,0.8190583449926134,0.8264463942625973,0.43,323.1,0.14
KNN,traditional,0.5646666666666667,0.5379550735863672,0.9247669773635153,0.6802154750244858,0.6827909916284295,0.6880480190898951,0.2676,8.6,1.09
DecisionTree,traditional,0.6583333333333333,0.6791885800150262,0.6018641810918774,0.6381927285563007,0.6156746500882667,0.5940367178642804,0.5,915.4,0.01
