Model,Accuracy,Precision,Recall,F1,AUC
LogisticRegression,0.731,0.696,0.8216,0.7536,0.8245
DecisionTree,0.6583,0.6792,0.6019,0.6382,0.6157
RandomForest,0.7303,0.6999,0.8076,0.7499,0.8191
XGBoost,0.7727,0.7515,0.8156,0.7822,0.8664
KNN,0.5647,0.538,0.9248,0.6802,0.6828
CLIP,0.89,0.8949,0.8842,0.8895,0.9552
BLIP-2,0.884,0.9075,0.8555,0.8807,0.9509
CLIP+LoRA,0.8917,0.9073,0.8728,0.8897,0.9584
Ensemble-SoftVote,0.9017,0.9159,0.8848,0.9001,0.9628
Ensemble-WeightedVote,0.9017,0.8926,0.9134,0.9029,0.9656
Ensemble-Stacking,0.9017,0.9108,0.8908,0.9007,0.9619
