model,frac,n_train,seed,val_auc
CLIP,0.1,1400,42,0.9315812116999318
CLIP,0.1,1400,43,0.9346985505752012
CLIP,0.1,1400,44,0.9272558706771035
CLIP,0.25,3501,42,0.9407474502176895
CLIP,0.25,3501,43,0.9412372288661848
CLIP,0.25,3501,44,0.9456110144195813
CLIP,0.5,7002,42,0.9495181324766799
CLIP,0.5,7002,43,0.9527314715226161
CLIP,0.5,7002,44,0.9481101299735644
CLIP,0.75,10501,42,0.9577288137401134
CLIP,0.75,10501,43,0.957754369341101
CLIP,0.75,10501,44,0.9594354834408595
CLIP,1.0,14002,42,0.9600870401547381
CLIP,1.0,14002,43,0.9591270384480683
CLIP,1.0,14002,44,0.9598697064350337
BLIP-2,0.1,1400,42,0.9208940815894785
BLIP-2,0.1,1400,43,0.9178220761281354
BLIP-2,0.1,1400,44,0.9193198565686339
BLIP-2,0.25,3501,42,0.9266345362391756
BLIP-2,0.25,3501,43,0.9313794335634376
BLIP-2,0.25,3501,44,0.937471444393679
BLIP-2,0.5,7002,42,0.9446325682356769
BLIP-2,0.5,7002,43,0.9462185710552375
BLIP-2,0.5,7002,44,0.9420003413339402
BLIP-2,0.75,10501,42,0.950287911622954
BLIP-2,0.75,10501,43,0.9502096892616698
BLIP-2,0.75,10501,44,0.9512034688061668
BLIP-2,1.0,14002,42,0.9554972542173408
BLIP-2,1.0,14002,43,0.9545292524964488
BLIP-2,1.0,14002,44,0.952613693535455
XGBoost,0.1,1400,42,0.8301712536377843
XGBoost,0.1,1400,43,0.820407902947383
XGBoost,0.1,1400,44,0.8131258900015822
XGBoost,0.25,3501,42,0.8519335145484703
XGBoost,0.25,3501,43,0.8520979592852611
XGBoost,0.25,3501,44,0.8579890808694771
XGBoost,0.5,7002,42,0.8693913233623526
XGBoost,0.5,7002,43,0.8687953223027953
XGBoost,0.5,7002,44,0.8640028693384343
XGBoost,0.75,10501,42,0.8767246697327462
XGBoost,0.75,10501,43,0.8733711082153036
XGBoost,0.75,10501,44,0.8747917774076042
XGBoost,1.0,14002,42,0.8812042332519702
XGBoost,1.0,14002,43,0.880426454091474
XGBoost,1.0,14002,44,0.8825611245531104
